link,text,user,likes,quotes,retweets,comments
/Byoussef/status/1815908831454535940,Israel has a long history of false flag operation. One of them took place in Egypt . Google the “Lavon Affair” and see how they denied it for 50 years then as usual admitted it and even honored the Israeli terrorists who carried it out,Bassem Youssef,8.9K,0,3.3K,146
/fayafox/status/1813785772153307438,Great Pyramids of ancient Egypt.,Ｆ Λ Ｙ Λ Ｆ ♢ 𒉽,404,0,135,44
/ForYouClips/status/1814310581383360700,"American soldiers kissing their loved ones goodbye before leaving for Egypt in 1963

It's the most beautiful thing you'll see today ",Clips For You ,165K,0,11K,2.7K
/MenchOsint/status/1814709589318733975,"Israeli attack against Yemen, considering the squadron used 'International airspace' over the Red Sea, avoiding Saudi Arabia & Egypt. 

That's just a probability.",MenchOsint,316,0,140,31
/FIFI_Egypt/status/1815947267603562576,セリーヌ・ディオンがパリ五輪でパフォーマンスを行うため、現地入りしたと報じられました。事実なら、96年のアトランタ以来2度目となる五輪でのパフォーマンス！セリーヌは筋肉の痙攣を引き起こすスティッフパーソン症候群であることを公表して以降は治療に専念していました。,フィフィ,666,0,62,11
/brixwe/status/1807841414144757894,"This is Egypt's border wall which is designed to keep out Palestinians.

Now this is a NICE wall. I'm jealous! 

Why can't we have one of these?",•Ɛɱɱყ•,6.3K,0,2.4K,446
/jakeshieldsajj/status/1743161270076125686,"This is Elon Cohan 

He's an Israel spy likely being the architecture of the Lavon affair(Isreal bombing American interest in Egypt and blaming them)

After he was expelled from Egypt he set up a massive spying and blackmail operation in Syria 

He gave prostitutes and alcohol to",Jake Shields,7.5K,0,2.6K,436
/EgyptFirst7000/status/1812741958021808614,عميد كلية العلوم في جامعة الدار البيضاء في المغرب رفض تكريم طالبه لابسه الكوفيه الفلسطينيه. كل التقدير ليك لرفضك الاشتراك في هذا العبث و الاستشراف و حفاظك على هوية بلدك.,𓋹 مصر أولا,670,0,136,109
/Resist_05/status/1787681640380236237,Egypt watches in horror as Israel drops bombs on displaced children in Rafah..,Pelham,13K,0,8.5K,4.6K
/DrLoupis/status/1789690131886019051,THANK YOU EGYPT,Dr. Anastasia Maria Loupis,17K,0,4.4K,603
/N_Alshrif_A/status/839541654839230464,"SOHO Square #sharm #Welcome_to_Egypt #Egypt_is_beautiful #travel 
 #ThisIsEgypt",🅝🅐🅝🅐,,0,2,
/VickyDaggett/status/839542204238610432,"Dive buddy..... 
@ClareLLangley
 #ScubaHurghada #RedSea #Egypt",Vicky Daggett,6,0,1,
/JennyReddish/status/839527461431934976,Happy #internationalwomensday! Here's Shajar al-Durr: rose from slave wife of Ayyubid sultan to female Sultan in 13th-C Mamluk Egypt #Seshat,Jenny Reddish,6,0,2,1
/GG_Marple/status/839536214017368064,#IWD #marpleguidinginspirations Suannah Williams went to Egypt to as a GOLD guide to help young women develop their potential. How fab!,Girlguiding Marple,3,0,4,
/GioneeEgypt/status/839517417630023680,"إبقي قَويه .جَميله . مُبتسمه .مُحبه .فكل يوم هو يومك فأنتِ المجتمع لا نصفه  
#اليوم_العالمي_للمراه",Gionee Egypt,3,0,,
/flights2egypt/status/839535723304873984,Y'all can keep it https://x.com/saycheese_medi/saycheese_media/status/838234723377901569…,yardie.,1,0,3,
/CAPMAS_EG/status/839529018898677760,تابعوا أحدث أخبار التعداد العام للسكان والمنشآت على هاشتاج #تعداد_مصر2017,CAPMAS Egypt,,0,,
/Egypt_Meomooooz/status/839532654479478785,"#جمله_بتقولها_امك 
لما اجى اطلب منها فلوس ",مقاتله من اجل مصر‏‎,10,0,33,4
/Google/status/32783792301150208,Watch the return of Google web traffic in Egypt on our Transparency Report http://goo.gl/IXpIz,Google,45,0,205,
/Google/status/32800624135372802,Info & resources for people concerned about the unrest in Egypt: http://www.google.com/crisisresponse/egypt.html,Google,13,0,74,
