link,text,user,likes,quotes,retweets,comments
/ShaykhSulaiman/status/1815454010255523920,GAZA BEFORE AND AFTER ISRAELS GENOCIDE,Sulaiman Ahmed,51K,0,22K,2.8K
/timand2037/status/1815774873819783281,The Gaza genocide. How they do it.,tim anderson,541,0,266,11
/Kahlissee/status/1815753907815239979," BREAKING: Colombia’s President Petro posts a picture of Gaza’s children:

“The children of the genocide in Gaza that humanity must not forget. If we overlook this crime against humanity, then it will be our own children who will be bombed next.”

Give this man a medal ",Khalissee,17K,0,7.7K,165
/mhdksafa/status/1815370677278462035,"Ukrainian women at a Palestine protest questioning, why the same world that rushed to support Ukraine turned a blind eye towards Gaza?",Mohamad Safa,81K,0,18K,1.2K
/Kahlissee/status/1815809078733705234,Thousands of child amputees exist in Gaza because of Israels' indiscriminate bombing of children,Khalissee,3.6K,0,2.7K,138
/Bernadotte22/status/1815032379737600459,Children of #Gaza,Emelia ,13K,0,9.4K,288
/hebsforfalastin/status/1814974253575360886,children of gaza are eating tree leaves while taehyung flaunts eating the brand that directly funds the starvation and k!ll!ng of these children.,hebs 𓂆,55K,0,17K,533
/NydiaVelazquez/status/1815796219282698530,"Prime Minister Netanyahu has presided over an unmitigated humanitarian disaster in Gaza.

In the interest of protecting human rights and ending this terrible conflict, Congress should not welcome him with open arms.

That is why I will not attend his address.",Rep. Nydia Velazquez,3.7K,0,852,294
/Bernadotte22/status/1815859684643070008,Gaza 2024,Emelia ,108,0,64,7
/ShaykhSulaiman/status/1814208302387232839,"CHILDREN ARE DYING OF STARVATION IN GAZA 

WHEN WILL THIS STOP",Sulaiman Ahmed,24K,0,17K,457
/mhdksafa/status/1814772722041307419,"Today, Israel bombed Gaza and Lebanon. It also bombed Yemen and Syria. Unbelievable violation of the Vienna convention and Palestine and Lebanon and Yemen and Syria.

Only Israel can bomb 4 countries and still be perceived as the victim.",Mohamad Safa,32K,0,20K,1.9K
/numanmazlan/status/1814862484257583204,"""Demi Allah, walaupun mereka mengebom seluruh Yaman dan hanya tinggal seorang penduduk Yaman, kami akan terus berdiri bersama Gaza dan menyokong Gaza.""

Reaksi warga Yaman terhadap pengeboman Israel-Amerika ke atas grid kuasa dan tangki diesel di Hodeidah.",Nu'man ,6.6K,0,3.4K,20
/HadiNasrallah/status/1814688009402343563,Israel is bombing Yemen. This is how the Yemenis responded. They will never abandon Gaza ,Hadi,9.5K,0,3.3K,518
/AbujomaaGaza/status/1814932287798071516,"280 days into the brutal #Israeli_bombing of #Gaza:

16,172 children have been KILLED..
3,500 died due to malnutrition and dehydration..
17,000+ lost one or two parents..",Motasem A Dalloul,1.8K,0,2K,70
/Kahlissee/status/1813018299430572239,Children of Gaza are being killed around the clock,Khalissee,193K,0,61K,762
/Palestine001_/status/1813085784330936677,  ,Gaza Under Attack_,37K,0,7.8K,136
/ShaykhSulaiman/status/1812970143510897107,"CHILD CRIES “IM AN ORPHAN” AFTER HIS FATHER AND SISTER WERE MURDERED BY ISRAELI AIRSTRIKES IN NORTH GAZA 

THIS IS HEARTBREAKING ",Sulaiman Ahmed,56K,0,33K,1.6K
/Tarek_Bae/status/1813297337013301583,"Serbische Soldaten 1992 in einer Moschee in Bosnien , die sie zerstörten.

Israelische Soldaten 2024 in einer Moschee in Gaza , die sie zerstörten.

Genozide folgen den gleichen Mustern.",Tarek Baé,1K,0,326,30
/stairwayto3dom/status/1813005627607916854,"GAZA JULY 2024

NEVER FORGET",The Saviour,10K,0,8K,281
/ShaykhSulaiman/status/1813377829616099830,"When UFC Fighter Bassil Hafez used his victory speech to speak about the genocide in Gaza

""Free Palestine."" ",Sulaiman Ahmed,52K,0,12K,202
