link,text,user,likes,quotes,retweets,comments
/Etoile_137/status/1816421513601446006,"انا من بعد ماشفت هذا الوثائقي، تأكدت ان كثير اشياء من حولنا تستحق ( الشك )

بحلقة من حلقاته سلط الضوء على القدس وسبب نزاع الاديان عليه",Étoile,,0,,
/Alwatan_Live/status/1816421475844227160,- #غدعونيم: وحدة تابعة لـ #الشرطة_الإسرائيلية، أقيمت هذه الوحدة في العام 1990، كوحدة مهمات خاصة، ولكن أقامت داخلها فرقة مستعربين تعمل بشكل خاص في مدينة #القدس المحتلة.,Alwatan - الوطن,,0,,
/AlGhadTV/status/1773122830776914386/analytics,"شاب غزي يوجه رسالة ساخرة إلى نتنياهو والجيش الإسرائيلي .. ماذا قال؟
تابعونا لمعرفة المزيد ",قناة الغد,26K,0,4.1K,1K
/SuperOryx/status/1816421441924895198,"لو حدث غير ذلك لكان تمثيلية على الشعب الامريكى وعلى العالم الحر . فهذا هو الوجه الحقيقى لعملاء الماسونية الصهيونية فى الكونغرس الأمريكى فجميعهم فاسدين ولديهم ملفات فساد . 
وما يهمنا هو اظهار الوجه الحقيقى لهم امام الشعب الامريكى وشعوب العالم كافة وما النصر إلا من عند الله .",القدس,,0,,
/Alwatan_Live/status/1816421460568613247,بالإضافة إلى وحدة #سايرت #دوفدفان المعروفة باسم الوحدة 217، هناك وحدات أخرى من #المستعربين، مثل وحدة #شمشون (الوحدة 367)، التي تعمل في الجنوب بالقرب من حدود غزة؛ ووحدة #ياماس، وهي وحدة مرتبطة بشرطة الحدود الإسرائيلية وتعمل بشكل رئيسي في #القدس؛ ووحدة #جدعونيم (الوحدة 33)، وهي قوة,Alwatan - الوطن,,0,,1
/halimi_hadi/status/1816421256587096281,"انا عربي واسمي عربي ولغتي عربية وخيلي عربي وابي عربي وامي عربية واقول صباح الخير و.مساء الخير باللغة العربية،دمي عربي ولبنان عربي من امة عربية والمتنبي عربي ابن رشد عربي السيد المسيح عربي والنبي محمد 
 عربي القدس عربية الحضارة العربية   وامي لم تلدني لا مسلماً ولامسيحيا بل عربي..",Hadi Halimeh,,0,,
/Bybit_Official/status/1811250011545686043/analytics,"New to #Bitcoin? Let us help you get started with a welcome gift!

Limited time only with up to 5,020 $USDT in rewards!

Click on Claim Now

#Bybit",Bybit,7K,0,734,433
/karima_gomaa/status/1816420606180462692,"القسام والسريا:
 تمكن مجاهدو كتائب القسام بالاشتراك مع مجاهدي سرايا القدس من دك تموضع لقوات العدو الإسرائيلي قرب مسجد الظلال شرق مدينة خانيونس بقذائف الهاون من العيار الثقيل ",elosta_kg,,0,,
/amoneeb21/status/1816420695078801689,"#البنزين 
ما فيش فايدة من الكلام.. بل ما فيش كلام اصلا شبعنا كلام يكفينا ان نعمل ف صمت ل 50 سنة القادمة
#كتائب_االقسام #سرايا_القدس #حماس #غزة_الآن #فلسطين",عبد المنعم منيب,1,0,,
/m_abdullah74/status/1816420397195186614,گندی نسل کے  ساتھ ایسا ہی ہونا چاہئے,Muhammad Abdullah (القدس في العيون),,0,,
/EscobarEm15039/status/1816420227082596733,#القدس_عاصمة_فلسطين_الأبدية,escobar,,0,,
/rpal48/status/1816420060245672045,تمكن مجاهدو كتائب القسام بالاشتراك مع مجاهدي سرايا القدس من دك تموضع لقوات العدو قرب مسجد الظلال شرق مدينة خانيونس بقذائف الهاون من العيار الثقيل,Arypal 𓂆 ,,0,,
/AldwmanBda44427/status/1816420027941191911,بعد زوال اسرائيل وتحرير القدس انشأ الله اما الان ويش بانقول للحسين بزيارتنا له القدس محتله عارً علينا,اجمع دومان,,0,,
/almqshy2/status/1816420027844690409," هـــــــام
هذا الحساب مزور  وينتحل شخصية  #يحيى_الرزامي وكل مايقوله وينشره لا يمثله. 
ونرجوا من الجميع الأبلاغ عنه وحظره..
كما نرجو مشاركة هذه التغريده",القدس _ أقرب,,0,,
/livequds/status/1816419976468627657,"القناة 14 العبرية: خشية في ""إسرائيل"" من إمكانية استهداف البعثة الرياضية خلال الأولمبياد في باريس.",قناة القدس,,0,,
/FundedNext/status/1805198018251026927/analytics,"Just One Click Away From Becoming A Profitable Trader. FundedNext is Here to Provide You World-Class Trading Conditions.

𝐒𝐭𝐚𝐫𝐭 𝐓𝐫𝐚𝐝𝐢𝐧𝐠 𝐖𝐢𝐭𝐡 𝐅𝐮𝐧𝐝𝐞𝐝𝐍𝐞𝐱𝐭!",FundedNext,103,0,10,14
/AJA_Palestine/status/1816418663601508418,"عاجل | كـ.تائب الـ.قـ.سام:
- قصفنا بالاشتراك مع سـ.رايا القدس قوات العدو قرب مسجد الظلال شرق خان يونس بقذائف الهاون الثقيل
- قنصنا جنديا صهيونيا ببندقية الغول في منطقة الزنة شرق مدينة خان يونس جنوبي القطاع",الجزيرة فلسطين,15,0,5,
/SamarAdel1235/status/1816418615110840540,#القدس_عاصمة_فلسطين_الأبدية رغم أنف كل الصهاينة ومن معهم..,Samar𓂆,,0,,
/AhmdwBnmstpha/status/1816418490116423761,أليس تغاضي حكام العرب عن تدنيس القدس الشريف والمجازر التي يرتكبها العدوفي حق أهلنا في غزة والضفة والقدس يوميا دليلا على تخلي أولئك الحكام عن الإسلام وتعاليمه وبرهانا على أن الهوان والخوف من الصهاينة وأمريكا قد تملكهم إلى درجة أنهم عجزوا عن أي تحرك تجاه مأساة إخوتهم في فلسطين؟,أحمدو ســـالم بـن المصطفى,,0,,1
/Khabrnews1/status/1816418381131616750,"تمكن مجاهدو كتائب القسام بالاشتراك مع مجاهدي سرايا القدس من دك تموضع لقوات العدو قرب مسجد الظلال شرق مدينة #خانيونس بقذائف الهاون من العيار الثقيل

#خبر_نيوز 
#طوفان_الأقصى",خبر نيوز,,0,,
