link,text,user,likes,quotes,retweets,comments
/hannaameen85/status/1812948029860900932,"هتسمع أن في سفارة معينة بتدعم موقفهم
هتلاقي ليبي بيقول أنهم هيرحلوا ٤ مليون مصري في ليبيا
(كل الموجودين في ليبيا ١٣٠ الف مصري)
هتعرف أنهم مدعومين من أنظمة وسفارات للتوطين في مصر
هتعرف أنهم فرحانين في مشاكل مصر
سواء سد النهضة أو مشكلة الكهربا أو قصة تيران وصنافير",HANNA_AMEEN,40,0,21,4
/osman_m7hmd/status/1815712952940445779,يومين بس و حلتلكوا مشكلة الكهربا ,عُثمان ,7,0,,
/meme9066/status/1815631207616352419,"انا واميرة بعد ما الكهربا قطعت  الساعه ٧وطلعنا اتمشينا في الغيط ورجعنا عملنا فطار وشربنا شاي 
اوعا الحياه الهيلثي",مَـيــار | ١٤٢٦ هـ,15,0,1,1
/HadeerA1999/status/1815961825197850839,لا بس حلوة اوي فكرة الصيانة اللي تخليك تقطع الكهربا كل يوم اربع ساعات بس ف ميعاد تاني والناس مبسوطة عادي ,"Ha,(Dear)𓂆",2,0,,2
/Hakeemfederer/status/1815677648095285457,"الحمد لله تخفيف الأحمال انتهى 
الكهربا بقت بتقطع ٣ او ٤ مرات كل مرة نصاية وتبوظ الاجهزة وقطع من غير مواعيد
بس دى مجرد اعطال مش تخفيف أحمال
نشكر الرب",فيديريستا,335,0,41,6
/Usf_Nassar/status/1812827351161393517,الكهربا قطعت اكتر من ٦ ساعات ولسه هتقطع الساعتين بتوع تخفيف الاحمال عادي,Usf,5,0,1,1
/i5smxi/status/1815168047251894684,الله يكون بعونهم مدري يلاقونها من الكهربا ولا من مقابل وجهه,خلاخيد,3,0,,1
/diariesofmos/status/1815829533531984182,"الكهربا قاطعة عن البلد كلها بس ازاي؟ شقق و شقق
يعني عمارتنا فيها اربع شقق في ٢ منهم قاطعين و ٢ لا",سامر مش سمير,3,0,,1
/Anwruto/status/1812486205306548343,في حاجة جوايا بتموت كل مرة الكهربا فيها بتقطع,Anwar,50,0,11,
/7iAhmed7/status/1812500957067923923,المود و الواحد مستني قطع الكهربا كأنه طبور توزيع الخدمة ، ملعون الميري و محبينه,Ahmed Refay,11,0,1,
/anawfaa3/status/1812614729103184111,"حسبى الله ونعم الوكيل 
فولت الكهربا ١٨٧ مقوم المروحه بالعافيه 
والاجهزه كلها هتبوظ والتكيفات مش شغاله 
ياجماعه انا كنت بحسب المشكله فى المنطقه اللى ساكنه فيها بس لكن ده تقريبا معظم الناس عندها نفس المشكله 
ومعظم الاجهزه اتحرقت ربنا يعوض علينا ",وفاء.. ‏,9,0,,4
/vip_hidy/status/1812495684467048556,"ف 2030 هنقعد نفتكر أيام قطع الكهربا دي 
و نقعد نضحك و نقوم نطفي الحطب و ننام.",هايدي',158,0,7,7
/wafaa0111/status/1812528150003187778,"المهم فى الموضوع
الإمارات اللى هاتنشئ التطبيق .. أومال احنا فين 
الإمارات هاتاخد فلوس على التطبيق .. طب ما نحط الفلوس دى للكهربا 
الأهم بقى .. ده انتوا لسه هااااتعرفوا الناس مواعيد قطع الكهربا  ده احنا هانبتدى من جديد بقى ",وفاء,2,0,,2
/Rabiikanaansy/status/1812749054968803503,"ما هي الأشياء التي يفتقدها المؤيد و الشبيح؟
الكرامة و الكهربا و بعض الأشياء الأخرى.

في عنا شغلات مش موجودة عندكم
يبعصون الحيط ينورون البيت",ربيع كنعان (أبو علي الزبداني),25,0,1,3
/Falennnna_/status/1812550523892957239,كسل ايه يا احا دة احنا شغالين شغلانة واتنين عشان بس نكفى نفسنا وكل ما نيجى نذاكر المانى عشان نهرب ابن المرا الق7بة يشد سكينة الكهربا 3 ساعات لو سمحتى خدى بكينك واطلعى ع اليخت بتاع بابا مسمعش صوت عشان انا والعيال معندناش تكييف https://x.com/eleoscloudd/st/eleoscloudd/status/1812241591278743753…,Lee Yeon,48,0,4,
/shrouk2711/status/1812681680420762107,غالبا كدا هيبقي يجيبلنا الكهربا ساعتين في اليوم بعد الحركة دي,Contradictions,,0,,1
/sherifelgendy87/status/1812484553061159229,بس السيرفر هيقع ومش هيبقي فيه داتا عشان الكهربا هتقطع...,Sherif Elgendy,5,0,3,
/Falennnna_/status/1812507662711652812,الكهربا تفصل 3 ساعات وبعدها النت بس ساعتين السعادة اختيار وقوم وعافر انا مبتعلمش المانى ليه انا قرفت انا مافيش انا بح انا مش قادر انا احا,Lee Yeon,9,0,,
/Overdose_Reaper/status/1812805730749010126,ربنا ياخده بجد يعني الكهربا قطعة من الساعة 8 و لسه جايه دلوقتي يعني 6 ساعات و كده كده مفيش ماية حتي,Ahmed Salam,3,0,1,1
/BANKER__NEWS/status/1812517194288214114,"اجراء عاجل من الكهربا للقضاء على سرقة التيار
#بانكير",بانكير - Banker,53,0,8,1
