link,text,user,likes,quotes,retweets,comments
/osSWSso/status/1816212604047745127,"أمريكا الشيطان الأكبر 
متظاهرون مناهضون لإسرائيل يشعلون النار في العلم الأمريكي الآن في #واشنطن .",همام شعلان || H . Shaalan,4K,0,1.1K,42
/ajmubasher/status/1816392947312779509,"احتجاجًا على خطاب نتنياهو.. متظاهرون ينزلون الأعلام الأمريكية في العاصمة #واشنطن ويرفعون الأعلام الفلسطينية بدلًا منها ويضرمون النار في دمية تمثّل نتنياهو

#الجزيرة_مباشر #أمريكا",الجزيرة مباشر,472,0,168,6
/osSWSso/status/1816196932412354961,"الليلة علينا جميعاً أن نقف وقفة رجل واحد على منصة أكس للعن هذا الشياطين الرجيم في الأرض لعنا كبيراً كثيراً 

قتلهم ثم قال لم يقتل أحدا  و #أمريكا تصفق للقاتل وهو يقتل وهو يكذب ...",همام شعلان || H . Shaalan,4.4K,0,1.9K,249
/kassim7th/status/1816198235100160256," ما أقواكِ يا غزة !!
بقعة صغيرة قلبت العالم ، هؤلاء الفتية اوقفوا امريكا على قدم واحدة.

رضي الله عن أهل العبور المقدس.
وإنّ غداً لناظرهِ قريب ، وسيعلمُ الذين ظلموا أي مُنقلبٍ سينقلبون.",قـٰٓـا ســِم,707,0,231,7
/alhosseini/status/1816358800670028137,آخرین وضعیت هژمون اخلاقی جهان! کف مرتب و ممتد برای قصاب ۴۰ هزار نفر و ۲۰ هزار کودک! کنکره آمریکا نشان داد که ارزش‌های حقوق بشری اصلا جهان‌شمول نیستند.,Sadegh Alhosseini صادق الحسینی,1.2K,0,114,70
/jamalrayyan/status/1816308778347663571,"يقول هذا المجرم الكذاب الذي اغتسل بدماء الأطفال والنساء بانه لم يقتل مدنيين في غزة 
ويهاجم محكمة العدل الدوليه ثم يصفقون له 
هذا الدجال دمر كل القيم التى ترفعها امريكا
وكشف حجم الفساد السياسي للذين صفقوا له وقوض مصالح امريكا في الشرق الاوسط",جمال ريان,1.1K,0,395,79
/Sorita921/status/1816374487006290049,"في أوضاع صحية ونفسية قاسية جدا

الاحتلال يفرج عن 7 أسرى، بينهم سيدتان، والهلال الأحمر الفلسطيني نقلهم لمستشفى شهداء الأقصى وسط قطاع غزة.

و يصفقون لنتن ياهو مجىرم الحرب،، امريكا راس الحية اللعىينة",Sorita 𓂆,154,0,90,6
/drhossamsamy65/status/1816274164111794538,كان لبن لادن راى فى التعامل مع امريكا وإسرائيل؟ ماتعليقك على رأيه؟,"Dr.Sam Youssef Ph.D.,M.Sc.,DPT.",825,0,167,74
/almanal32/status/1713918336696746142,تقول أنا اخلاق وأنا مطيعة لأمي وهي من راحت امريكا ارتمت في حظن الشاذ وقالت احبىك  وراحت بيت الدعىاره تحتفل معاهم العاهىره الشمطاء #هند_القحطاني,al-manal,41,0,7,15
/Ahmadaljaralah/status/1814714579231953104,#أمريكا و #بريطانيا ومعهم #الاتحاد_الأوروبي كل ضرباتهم على مليشيات الارهاب #الحوثيه كل ضرباتهم برد وسلام على جعوره #الحوثه خدم الفرس كل ضربات #أمريكا وحلفائها فشوش ….الان نحن أمام الضربات العشر #الاسرائيليه والتي الهبت أدبار #الحوثيين وأسيادهم المعممين #الضربات_الاسرائيليه,أحمد الجارالله,174,0,66,123
