link,text,user,likes,quotes,retweets,comments
/qudsn/status/1815810371292106922,"تغطية صحفية: ""ذو الأرواح السبعة""! مـــ.ـقــ.ـــاوم وحيد، قاتل سرية كاملة في خانيونس، لمدة 12 ساعة.",شبكة قدس الإخبارية,3.3K,0,1.2K,31
/AvichayAdraee/status/1738059724753449207,"على مدار الأسابيع الثلاث الماضية يشن مقاتلو الفرقة 98 هجومًا على منطقة خان يونس، يدمرون خلاله العدو والبنى التحتية الإرهابية.

القوات عثرت على عشرات فتحات الأنفاق التي يتم تدميرها وكشفت عن المواد الاستخباراتية الهامة التي ساهمت في تعزيز فعالية المناورة البرية.

تجري",افيخاي ادرعي,320,0,73,700
/_Raji__/status/1815860009869209730,شكلهم بدهم يحشرونا كلنا بمواصي خانيونس بدهم يحشرونا بالزواية ويدبحونا كلنا ، الي جاي صعب علينا يا عالم اللي حيصير فينا ما حد راح يتوقعه احنا مش مسامحين حد حتى الموت راح ننجبر عليه وانتو واقفين تفرجوا علينا.,راجيٰ |𓂆 𝗥𝗮𝗷𝗶,608,0,395,28
/hassaneslayeh/status/1815249275602764237,جيش الاحتلال يطلب من سكان شرق  خانيونس اخلاء منازلهم,حسن اصليح | Hassan,194,0,111,5
/Military_OSTX/status/1815759212741353511," جيش الإحتلال ينشر مقطع من عـ0ـلياته داخل #خانيونس 

داخلين بالجيبات ",المرصد العسكري ⧨,50,0,5,7
/AvichayAdraee/status/1815763883912724856,"خلال 24 ساعة من نشاط قوات الفرقة 98 في خان يونس: القضاء على عشرات المخربين

على مدار آخر 24 ساعة، تتصرف قوات الفرقة 98 فوق الأرض وتحتها في منطقة خان يونس.
 
مجموعة القتال التابعة للواء 7 قادت النشاط اللوائي وقضت على عدد من المخربين من خلال الاشتباكات مع خلايا مخربين، منذ",افيخاي ادرعي,154,0,17,106
/albassl2001/status/1812117625100542357,"قال أبو القاسم الشابي وقد صدق، عن هذه الحيوانات المتوحشة وعن أمثالهم وأعوانهم:

إنَّ السَّلامَ حَقيقةٌ مَكْذوبةٌ
والعَدْلَ فَلْسَفةُ اللَّهيبِ الخابي

لا عَدْلَ إلاَّ إنْ تَعادَلتِ القوى
وتَصادَمَ الإرهابُ بالإرهابِ
#مجزره_مواصي_خانيونس",عبد الرحمن الناصر الغامدي,666,0,506,38
/drhossamsamy65/status/1738022558224568830,"""أبوها استُشهد في خانيونس"".. استشهاد طفلة فلسطينية بقصف مدفعي على جباليا لتلحق بوالدها","Dr.Sam Youssef Ph.D.,M.Sc.,DPT.",3.1K,0,2.3K,71
/MhmdSaidPal/status/1815746069247951312,"فقط في غزة 
شهيد يحمل شهيد وشهيد يودع شهيد وشهيد يدفن شهيد 

إثنين من عائلة أبو طه الذين ارتقوا أول أمس وهم يودعون شهداء من عائلتهم الذين استشهدوا في قصف سابق على مدينة خانيونس",محمد سعيد ,2.3K,0,1.8K,83
/mohshoaibfarra/status/1815815970788622422,"هذا شريف الفرا، عصر أول أمس

كان يتوسط مجلس في حارتنا المدمرة، ويتابع الأولاد وهم يلعبوا كرة القدم في قطعة أرض جرفتها آليات الاحتلال في دخول خانيونس الأول،
صباح الأمس، قتلته اسرائيل في غارة على ما تبقى من حارتنا المنكوبة،

القلب يعتصر ألماً والعين تبكي دماً على رحيل خيرة شبابنا.",Mohammad Shoaib Al-Farra,277,0,123,16
/ahmad_alnufais/status/1815325180597530931,"ليس لها من دونك كااشفة

#مجزرة_خانيونس #غزة_الفاضحة",أحمد بن عبدالعزيز النفيس,1.5K,0,848,79
/khalilalbalush1/status/1815499717893329397,"في خانيونس..يفترشون الأرض ألماً ويعانقونها بأرواحهم 

ستبتسم لكم، هذا وعد الله ",خليل البلوشي,1.5K,0,248,51
/awweze/status/1737919673553866984,"تمكن مجاهدو القسام من استهداف مجموعة من جنود الاحتلال بقذيفة ""الياسين 105"" شمال مدينة خانيونس وأوقعوهم بين قتيل وجريح

كتائب القسام تستهدف 3 دبابات صهيونية بقذائف ""الياسين 105"" شرق مدينة خانيونس",lotfi,168,0,13,3
/Abu_Salah9/status/1815332615718637822,"
مشاهد كيوم الحشر ، مشاهد كالأهوال

الآلاف في الشوارع الآن في خان يونس لا يعلمون أين يذهبون.

غزة في كرب كبير جداً جداً",MO,4.7K,0,3.6K,199
/kds_711/status/1815653264265765035,"ولعوها اهل لبنان 

#اليمن #الحديدة #فلسطين #غزة  #خان_يونس #حزب_‌الله #كتائب_القسام #سرايا_القدس #العراق",اليمن في غزة,,0,,
/nasser_duwailah/status/1815951430290756045,الضربة الموجعة قادمة بحول الله و قدرته فقد تعلن كتائب القسام اليوم عن مقتل بعض الرهائن الامريكيين على يد نتنياهو في هجومه الاخير على خان يونس و قد تطلب كتائب القسام من الصليب الاحمر الدولي تسلم جثث امريكيين قضوا يوم امس في قصف الجيش الاسرائيلي لخان يونس لكن هذه ليست الضربة,ناصر الدويلة,1.2K,0,191,58
/EdyCohen/status/1737893346016739506,استسلام جماعي والمئات من المواطنين يخرجون من خان يونس رافعين الراية البيضاء.,إيدي كوهين אדי כהן ,251,0,29,911
/A_A_Nabhane/status/1737915556265632249,"كتائب القsام: استهدفنا مجموعة من جنود الاحتلال شمال خان يونس بقذيفة ""الياسين 105"" وأوقعناهم بين قتيل وجريح
#غزه_مقبرة_الغزاة",عبدالشافي النبهاني 𐩲𐩨𐩵𐩱𐩡𐩦𐩱𐩰𐩺𐩽𐩱𐩡𐩬𐩨𐩠,20,0,7,2
/Abu_Salah9/status/1815521880398598258,"المشهد مُبكي ومؤلم لمن لا زال يهتم لهؤلاء الأبرياء 

هذا المشهد هزمني ومزق قلبي ، 

الالاف من النساء والأطفال والكبار يفترشون الشوارع والطرقات الآن في خان يونس.",MO,3.8K,0,2.5K,121
/Abu_Salah9/status/1815453807838707795,"لمن لا يعلم..

ينام الآلاف في الشوارع الآن بلا مأوى وبلا طعام او شراب،

 ليلة من الليالي الحزينة جداً في خان يونس.",MO,4.4K,0,2.7K,150
