link,text,user,likes,quotes,retweets,comments
/M0SC0W0/status/1815702753592668286,"سرايا القدس تعرض مشاهد من تجهيز وإطلاق رشقات صاروخية على ""حوليت"".. ""ياتيد"".. ""صوفا"".. ""أفيشالوم"" ومغتصبات غلاف غزة من قلب مناطق التوغل في مدينة رفح جنوب قطاع غزة.",موسكو |  MOSCOW NEWS,4.6K,0,1.1K,28
/fha_mohamed/status/1814298790687277398,"#معبر_رفح
ألا يوجد رجل واحد في #الجيش_المصري  إستفزته تلك الصورة
أم لم يعد بمصر رجال بالأصل؟؟؟!!!",The King,909,0,284,350
/Bybit_Official/status/1812774986010312866/analytics," $USDT $ATH $TON, are these tokens the best for staking?

 Learn about this passive income strategy & the risks involved for Maximum Passive Income (2024)!

Click Learn More to Find Out!",Bybit,1.2K,0,80,47
/osgaweesh/status/1815504482945364276,"ولولا أن مصر يحكمها سيئ الذكر 

لما تجرأ الاحتلال على بلطجة كهذه 

هدم بوابة معبر رفح من الجهة الفلسطينية ورفع علم الاحتلال على بعد أمتار من الحدود المصرية",Osama Gaweesh,7.7K,0,2K,458
/hodajannat/status/1813952907714412701,"نتنياهو في رفح ...

اين جرذان حماس ؟",Hoda_jannat,422,0,43,147
/gamal_helal/status/1815497774344851793,هدم جيش الاحتلال معبر رفح هو اعتداء فج على مصر لأنه معبر حدودي مصري وقطع هذا المعبر والاعتداء عليه هو اعتداء على السيادة المصرية!,محمد جمال هلال,6K,0,2.1K,1.3K
/Military_OSTX/status/1813949687264899461, نتنياهو مع جنود جفعاتي في معبر #رفح,المرصد العسكري ⧨,67,0,13,20
/EdyCohen/status/1815655908963172749,"لا فلسطين لا بطيخ
هنا الاحتلال الإسرائيلي 
شكرا لحماس ولقيادات حماس
لم نكن نتجرا على القيام بهذا لولا افعالكم العبثية.
اسرائيل تدمر معبر رفح وتنصب الإعلام الإسرائيلية.
حماس: انتصرنا ههههههه",إيدي كوهين אדי כהן ,1K,0,122,497
/YoubaTv/status/1815878471534665912,"استسلام  مجموعة من عناصر حماس في رفح بعد نفاذ ذخيرتهم واغذيتهم بعد محاصرتهم لمدة اسبوع في احد البنايات  
-رغم ان اثنين من هؤلاء الحماميس ظهروا في فيديوهات السابع اكتوبر،إلا ان جيش الدفاع جيش الاخلاق قدم لهم الماء والغداء
#إسرائيل",Youba Tv,137,0,16,42
/NaseerSourani/status/1813978197328793840,"نتنياهو ينهي جولة ميدانية في رفح 
وين كتائب القسام ؟؟؟ نتنياهو اجا على رفح وعمل جولة ميدانية  المضحك المبكي أن أغلب قيادات حركة حماس الفارين يتكلمو عن الجهاد والاستشهاد وينامون في افخم الفلل والقصور 
والشعب  راح ضحية لمقامرات حماس والجهاد 
والسنوار الي صرعنا  في حب الجهاد ولايخشى",ناصر آَل صوراني ,254,0,141,53
/DrMahmoudSalemE/status/1813283237445443923,"رفح اليوم... 

اللَّهُمَّ أَبْرِمْ لِهَذِهِ الْأُمَّةِ أَمْرًا رَشدًا
     اللهم آمين آمين ",مَحْمُودْ سَالِمْ الْجِنْدِي,1.3K,0,332,30
