link,text,user,likes,quotes,retweets,comments
/Abu_Salah9/status/1815895780755972401,"
صورة قاسية وحزينة جدا ً لمن لا زال يهتم لأمر هؤلاء.

هكذا ينام الأطفال النازحين في شوارع غزة الآن!",MO,3.7K,0,2.2K,94
/adhamsharkawi/status/1803539648481800400,"كبرنا ونحن نُردِّد: ما حدا بموت من الجوع!
لا، بغزَّة ماتوا من الجوع! 
فاللهُّمَّ من جوَّعهم فجوَّعه،
ومن قتلهم فاقتله،
اللهمَّ عدلكَ وانتقامك لغزَّة!
#شمال_غزة_يموت_جوعاً",أدهم شرقاوي,18K,0,14K,1.2K
/Kahlissee/status/1815476527204553007," BREAKING: UK COVERS UP GAZA SPY FOOTAGE FROM WCK AID WORKER MASSACRE

Exclusive: The Royal Air Force has surveillance tape of Gaza from the day Israel killed British aid workers – but refuses to publish it.

Family of slain aid worker demands to see footage

■ UN expert",Khalissee,14K,0,9.1K,254
/M0SC0W0/status/1815954825823003015,صوره وكانّها من فيلم هوليوود وليست حقيقه ؛ انها غزة حيث ارتكب جيش الاحتلال فيها أبشع الجرائم في القرن الحديث,موسكو |  MOSCOW NEWS,664,0,472,21
/AnasAlSharif0/status/1815509935607751081,"هذا حالنا وحال الكثير في غزة
النوم في الشوارع..!",أنس الشريف Anas Al-Sharif,8.1K,0,4.7K,242
/mahmoudalhsanat/status/1815844508401045947,"اليهود في أميركا يعتصمون داخل الكونجرس تضامناً مع غزة..
ومشايخنا بياكلو كبسة وبيشربوا بيبسي",محمود الحسنات ALHASANAT,6.7K,0,1.5K,621
/_Aymanelsheikh_/status/1195783183536738310,"They're more than kids or men. They're heroes. 
#غزه_ياعرب_تنادي 
#غزّة_العزّة 
 #اخواتنا_تحت_القذف",الأيــمـــــن,14,0,13,1
/AnasAlSharif0/status/1815864444154454419,"""إنَّ الذي يُراق دمٌ وليس ماءً
وإنَّ الذي يُقطعُ أطرافٌ لا أغصاناً
فمن أَلِفَ المشهدَ فقد خان
ومن اعتادَ المنظرَ فقد خذلَ"" 
#غزة",أنس الشريف Anas Al-Sharif,2.7K,0,1.7K,64
/Jhkhelles/status/1815700217120936434,تحت أشعة الشمس الحارقة، هكذا يبدو طابور الحصول على المياه في غزة كل يوم، هل رأيتم قهراً أعظم من هذا !!,جهاد حلس، غزة,6.8K,0,3.7K,352
/ix_ele/status/1716849731010441467,"الجميع يقف مع #غزة_العزة 

الممثل البريطاني ""جيسون ستاثام"" يتحدى الشرطة البريطانيه ويضع علم #فلسطين على سيارته.

#فلسطين_الان",فيل,45K,0,12K,1K
/mohamed_shababo/status/1195780234659926017,"وأكره عروبتي كلما تذكرت بأن الطائرات التي تقصف غزة تطير بنفط عربي 

#غزة_بتتضرب_يا_حكام_العرب",Mohamed Shababo,18,0,13,1
/WaleedAshry1/status/1195782857513459712,والله ما يكفي كل ارواحنا فداء لتلك الرجفه في قلبك ... غزه ,Waleed Ashry,116,0,8,2
/Abu_Salah9/status/1815499713669415274,"

خطير جداً ، مقطع يجب أن يصل لكل البشرية

جندي اسرائيلي يقوم بتحطيم جهاز الموجات فوق الصوتية في المستشفى الوحيدة المتخصصة بعلاج مرضى السرطان في غزة!",MO,13K,0,11K,489
/ahmedserief2/status/1195781826956201984,"محدش بيحس بحد... الشيله شيلتك لوحدك 
#غزة_بتتضرب_يا_حكام_العرب",ahmed shrief,69,0,45,2
/3Orabi1907/status/1195781289590345728,"لا غِياب لأن إسماعيل أثبت حضوره في جنان النَّعيم 

هُنا غزَّة ",ابن أحمد عرابي,303,0,66,27
/sara_koko_/status/1815223603266285790,I LOVE TIKTOK ,#keepeyeonsudan ,136K,0,19K,795
/lion_07777/status/1711141815536206020,"من السبي البابلي 
الى السبي الغزاوي 
السبايا يتم اخذهم الى غزة
#طوفان_الأقصى",أحداث سرية ...سري للغايه صاادم Classified ,330,0,46,1
/Goraba2_/status/1195782847531016193,#دثروا_غزه_بالدعاء,غرباء,2,0,4,
/MunaHawwa/status/1710552101221249131,الإعلام العسكري ينشر المزيد من التوثيق لأسرى جيش الاحتلال، صور لجملة جنود في حالة تكديس داخل عربات القسام، وصور أخرى توثّق مقتنياتهم. #غزة #القسام #طوفان_الأقصى,مُنى حوّا • Muna Hawwa,1.4K,0,223,25
/SamraBo/status/1195780725116678145,"بِأَبِيْ أَنْتُمْ وَأُمِيْ وَ نَفْسِيْ....ستتحرر
#غزة_تقاوم 
#غزة_في_خمسين_ثانية",Bo samra,11,0,3,
